Ser No.,Al,Ti,V,Cr,Mn,Fe,Ni,Cu,Nb,Mo,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,Liquidus,Term. Temp,Solidifcation Range
175,5.694444444,5.694444444,5.694444444,48.75,5.694444444,5.694444444,5.694444444,5.694444444,5.694444444,5.694444444,0.686601045252849,0.0555901086619165,0.7421911539147655,0.25780884608523447,1579.09,803.61,775.4799999999999
176,5.555555556,5.555555556,5.555555556,50.0,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,0.695347406071003,0.0545043439309934,0.7498517500019963,0.25014824999800367,1584.9,805.98,778.9200000000001
177,11.1111,11.1111,11.1111,11.1111,0.0001,11.1111,11.1111,11.1111,11.1111,11.1111,0.5056218100835739,0.065672284644161,0.5712940947277348,0.42870590527226515,1669.72,889.48,780.24
178,10.97222222,10.97222222,10.97222222,10.97222222,1.25,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,0.5011522271407745,0.0704429638809312,0.5715951910217056,0.42840480897829436,1658.38,849.27,809.1100000000001
179,10.83333333,10.83333333,10.83333333,10.83333333,2.5,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,0.502255703404446,0.0707783632981818,0.5730340667026278,0.4269659332973722,1647.21,808.8,838.4100000000001
180,10.69444444,10.69444444,10.69444444,10.69444444,3.75,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,0.5031301975094796,0.0698705400362102,0.5730007375456898,0.4269992624543102,1636.17,777.11,859.0600000000001
181,10.55555556,10.55555556,10.55555556,10.55555556,5.0,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,0.4029831773044778,0.0699540531171425,0.4729372304216203,0.5270627695783797,1526.04,760.71,765.3299999999999
182,10.41666667,10.41666667,10.41666667,10.41666667,6.25,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,0.5043909201224469,0.0719325620760564,0.5763234821985033,0.42367651780149673,1614.45,753.06,861.3900000000001
183,10.27777778,10.27777778,10.27777778,10.27777778,7.5,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,0.406357357952803,0.0739175681294985,0.4802749260823015,0.5197250739176985,1505.12,749.68,755.4399999999999
184,10.13888889,10.13888889,10.13888889,10.13888889,8.75,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,0.502921856578177,0.0763098756607986,0.5792317322389756,0.4207682677610244,1593.08,748.39,844.6899999999999
185,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.749087364807621,0.0841175384032676,0.8332049032108886,0.16679509678911142,1582.48,746.15,836.33
186,9.861111111,9.861111111,9.861111111,9.861111111,11.25,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,0.503357109816006,0.0816103918467948,0.5849675016628009,0.41503249833719913,1571.91,751.18,820.7300000000001
187,9.722222222,9.722222222,9.722222222,9.722222222,12.5,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,0.504042634201394,0.0843276692182472,0.5883703034196411,0.41162969658035886,1561.36,752.55,808.81
188,9.583333333,9.583333333,9.583333333,9.583333333,13.75,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,0.777836204151985,0.0870501287583683,0.8648863329103532,0.13511366708964678,1550.81,754.24,796.5699999999999
189,9.444444444,9.444444444,9.444444444,9.444444444,15.0,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,0.773513619416063,0.0900263788662799,0.8635399982823428,0.13646000171765715,1540.25,756.31,783.94
190,9.305555556,9.305555556,9.305555556,9.305555556,16.25,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,0.506340643130865,0.0933166015100858,0.5996572446409508,0.4003427553590492,1529.66,757.85,771.8100000000001
191,9.166666667,9.166666667,9.166666667,9.166666667,17.5,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,0.507316722154128,0.0966129286233667,0.6039296507774947,0.3960703492225053,1519.03,759.46,759.5699999999999
192,9.027777778,9.027777778,9.027777778,9.027777778,18.75,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,0.761567190470675,0.099742588798637,0.861309779269312,0.13869022073068804,1508.35,761.03,747.3199999999999
193,8.888888889,8.888888889,8.888888889,8.888888889,20.0,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,0.756847588280946,0.103127722885435,0.859975311166381,0.14002468883361896,1497.6,762.67,734.93
