Ser No.,Al,Ti,V,Cr,Mn,Fe,Ni,Cu,Nb,Mo,Al_wt%,Ti_wt%,V_wt%,Cr_wt%,Mn_wt%,Fe_wt%,Ni_wt%,Cu_wt%,Nb_wt%,Mo_wt%,Liquidus,Term. Temp,Peak Cracking Index,Num. Sim. Steps,Vol. Frac At Term. BCC_B2,Start Temp. BCC_B2,Vol. Frac At Term. BCC_B2#2,Start Temp. BCC_B2#2,Vol. Frac At Term. C14_LAVES,Start Temp. C14_LAVES,Vol. Frac At Term. CR3SI_A15,Start Temp. CR3SI_A15,Vol. Frac At Term. FCC_L12,Start Temp. FCC_L12,Vol. Frac At Term. HEUSLER_L21,Start Temp. HEUSLER_L21,Vol. Frac At Term. MU_PHASE,Start Temp. MU_PHASE,Vol. Frac At Term. SIGMA,Start Temp. SIGMA
253,6.25,6.25,6.25,6.25,6.25,43.75,6.25,6.25,6.25,6.25,2.88656264542736,5.12086183932516,5.44982856287009,5.56258658778597,5.87732483190603,41.8204964990452,6.27903866829991,6.7982176957352,9.9391812740373,10.2659013955678,1333.18,933.42,22030.7840399959,422,0.598734869915488,1304.65,0,0,0.244798196102922,1333.18,0,0,0.0829841446850664,945.95,0,0,0.0576668048415796,1330.48,0.0158160386264811,1137.59
254,6.111111111,6.111111111,6.111111111,6.111111111,6.111111111,45,6.111111111,6.111111111,6.111111111,6.111111111,2.8251856752027,5.01197697409116,5.33394887948173,5.44430933095544,5.75235529702343,43.0575670541292,6.14552749368736,6.65366721949563,9.7278445015337,10.0476175743997,1332.66,926.8,15905.4126702598,427,0.608635009381917,1308.8,0,0,0.244086422535964,1332.66,0,0,0.0538443065896869,996.88,0,0,0.0453215651258371,1324.84,0.0153555146240062,1140.42
255,5.972222222,5.972222222,5.972222222,5.972222222,5.972222222,46.25,5.972222222,5.972222222,5.972222222,5.972222222,2.76368816182262,4.9028782611357,5.21784161068742,5.32579977993214,5.62714032444634,44.2970671913128,6.01175410576885,6.50883284898007,9.51609266778936,9.82890504812463,1331.93,932.79,14803.2258138956,423,0.625960956354954,1312.26,0,0,0.243184973580421,1331.93,0,0,0.0834735647398173,1044.74,0,0,0.0324648798629081,1318.83,0.0149157068901355,1143.3
256,5.833333333,5.833333333,5.833333333,5.833333333,5.833333333,47.5,5.833333333,5.833333333,5.833333333,5.833333333,2.7020697498215,4.79356506985047,5.10150608536827,5.2070572497116,5.50167919041188,45.5390040751084,5.87771773131247,6.36371374702234,9.30392454884426,9.60976255254876,1330.98,935.24,685236.197085001,429,0.640557955428471,1315.66,0,0,0.242001314508761,1330.98,0,0,0.0805132621238316,1074.91,0,0,0.0193458924349039,1310.15,0.0140861924537406,1144.58
257,5.694444444,5.694444444,5.694444444,5.694444444,5.694444444,48.75,5.694444444,5.694444444,5.694444444,5.694444444,2.6403300823347,4.68403676714532,4.98494162976407,5.08808105259339,5.37597116830864,46.7833848982255,5.74341759404308,6.21830907316139,9.09133891592126,9.39018881850261,1329.81,930.14,4.5035996273705e+15,424,0.652954013854449,1318.72,0,0,0.240030309612807,1329.81,0,0,0.0751503409697501,1093.71,0,0,0.0088866318845941,1297.56,0.0130287268446525,1145.77
258,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,50,5.555555556,5.555555556,5.555555556,5.555555556,2.57846880131463,4.57429271783142,4.86814756788118,4.96887049859742,5.25001552911657,48.0302168772168,5.60885291511228,6.07261798415016,8.87833453616993,9.17018257260959,1228.93,926.22,50720.5724469428,315,0.0339294091395121,1228.93,0,0,0.00816763968447292,1228.93,0,0,0.046904849827352,1042.26,0,0,0,0,0.00112991997870858,1019.23
259,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,0.0001,11.1111,11.1111,11.1111,4.98759175973851,8.84816006090739,9.41657028480465,9.61140097618277,10.1552263025911,10.3228842125342,9.76441013646925e-05,11.7464052317969,17.1735675646826,17.7380959626606,1615.69,701.353,38394.7982385378,931,0.688390656234552,1615.69,0.163305598346269,849.64,0.137010301601945,1357.56,0,0,0.0013711298110081,721.576,0,0,0,0,0,0
260,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,1.25,10.97222222,10.97222222,10.97222222,4.92670252483336,8.74014045497733,9.30161144541031,9.49406361578961,10.0312498446852,10.1968609628389,1.22091078165447,11.6030034335135,16.9639101909483,17.5215467453491,1612.5,733.43,33871.3764178865,896,0.698301976813189,1612.5,0.155774872894614,822.26,0.134952012409088,1352.4,0,0,0.00104379047574892,742.97,0,0,0,0,0,0
261,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,2.5,10.83333333,10.83333333,10.83333333,4.86577253356625,8.63204854585337,9.18657565802875,9.37664771534025,9.90719040282642,10.0707533591656,2.44254107354028,11.4595056488771,16.7541124825256,17.3048525802764,1508.91,732.13,35010.5752556909,803,0.601066427559734,1508.91,0.11749614082638,807.44,0.1261026630082,1345.91,0,0,0.00953461208609596,802.49,0,0,0,0,0,0
262,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,3.75,10.69444444,10.69444444,10.69444444,4.80480662429886,8.52389291695625,9.07147205748397,9.25916259865998,9.78305782839415,9.94457141553517,3.66489151188028,11.3159232728373,16.5441910991442,17.0880306748098,1605.4,734.12,37830.3300954117,895,0.756189852142517,1605.4,0.0732499111693911,784.71,0.122363201552177,1341.3,0,0,0.0357470894236432,810.74,0,0,0,0,0,0
263,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,5,10.55555556,10.55555556,10.55555556,4.74380476548121,8.41567351231522,8.95630058420962,9.14160820495001,9.65885205714947,9.81831506664807,4.88796272924328,11.17225623109,16.3341459321695,16.8710809167437,1601.45,736.54,8475.29996647371,884,0.772832750863717,1601.45,0.0448575632124567,767.92,0.115629874043496,1335.35,0,0,0.0530387462863437,816.95,0,0,0,0,0,0
264,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,6.25,10.41666667,10.41666667,10.41666667,4.68276692492191,8.30739027482163,8.84106117742836,9.02398447217551,9.53457302354755,9.6919842458774,6.11175537105829,11.0285044478203,16.1239768707581,16.6540031915909,1597.2,739.05,9018.26017189044,878,0.784124917105155,1597.2,0.0258760187586216,759.37,0.11045059149435,1329.18,0,0,0.0645212106666461,825.1,0,0,0,0,0,0
